,"GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005654,nucleoplasm","GO:0030479, actin cortical patch","Cdc28, goldstandard_hits","GO:0005618, cell wall "," GO:0006974, cellular response to DNA damage stimulus","GO:0010494, cytoplasmic stress granule","GO:0005576, extracellular region","GO:0035556, intracellular signal transduction","inviable, yeast","Mitchell2012, parkermrnps","GO:0005743, mitochondrial inner membrane","GO:0005759, mitochondrial matrix","GO:0005739, mitochondrion","GO:0003729, mRNA binding","GO:0005643, nuclear pore","GO:0005730, nucleolus","GO:0000932, P body","GO:0004672, protein kinase activity","respiratory, growth  decreased rate","GO:0042254, ribosome biogenesis","RNA accumulation, increased","GO:0006364, rRNA processing","GO:0043565, sequence specific DNA binding","Wallace2015, heatagg"
kappa,NA,-125.338095515665,-0.970825443540671,-2.26182587047666,-2.59341894917797,NA,-3.98885361920775,-0.981576931631301,1.67341842520028E-05,NA,NA,NA,NA,NA,-2.43909900332895,NA,NA,NA,NA,-5.86739237398236,-1.61672551233674,-7.32657008435701,NA,NA,NA,NA,NA,-2.42836611846299,NA,NA,NA,NA,NA
length,NA,NA,NA,-1.91982375578303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.71967562147393,NA,NA,NA,NA,NA,-6.64955307090243,NA
LIG_AP_GAE_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26697202956438,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIG_APCC_Cbox_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIG_CaM_IQ_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIG_EH_1,NA,NA,NA,NA,NA,NA,NA,NA,-7.49459496892862E-05,NA,NA,NA,NA,NA,NA,NA,3.13136784087859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIG_eIF4E_1,NA,NA,NA,0.335077752626582,NA,0.524727114499632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIG_GLEBS_BUB3_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIG_LIR_Gen_1,1.78354069822136,NA,NA,NA,NA,0.98415533108668,NA,1.47983245421489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.588157335607986,NA,NA,NA,NA,NA,NA,NA
LIG_PCNA_PIPBox_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84895922276019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIG_SUMO_SIM_par_1,2.29672003904398,-106.16948508559,NA,NA,-0.88016750242798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.606134521590659,NA,-1.53721181258603,NA,NA,NA,NA,NA,NA,NA
MOD_CDK_SPxK_1,NA,NA,NA,-2.46219404566011,NA,-1.55151496257091,NA,NA,NA,NA,NA,7.0520167769162,NA,1.09788844660219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
