idr_name,NAME,"GO:0005654,nucleoplasm","GO:0005730,nucleolus","GO:0005739,mitochondrion","GO:0005740,mitochondrial envelope","GO:0005741,mitochondrial outer membrane","GO:0005758,mitochondrial intermembrane space","GO:0031966,mitochondrial membrane","GO:0035556,intracellular signal transduction","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098798,mitochondrial protein complex","GO:0098799,outer mitochondrial membrane protein complex"
YBL032W_idr_2,HEK2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL032W_idr_3,HEK2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL034C_idr_10,STU1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL034C_idr_14,STU1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL034C_idr_5,STU1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL035C_idr_2,POL12,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL037W_idr_4,APL3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL042C_idr_1,FUI1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL046W_idr_5,PSY4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL047C_idr_11,EDE1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL047C_idr_12,EDE1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL047C_idr_13,EDE1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL047C_idr_2,EDE1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL047C_idr_20,EDE1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL047C_idr_8,EDE1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL051C_idr_1,PIN4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL051C_idr_2,PIN4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL051C_idr_4,PIN4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL051C_idr_8,PIN4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL052C_idr_2,SAS3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL052C_idr_4,SAS3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL052C_idr_9,SAS3,0,0,0,0,0,0,0,0,0,0,0,0,0
